Position	Raw_counts	CPM
-97	228	1585
-96	193	1342
-95	273	1898
-94	197	1370
-93	242	1683
-92	269	1870
-91	172	1196
-90	215	1495
-89	258	1794
-88	179	1245
-87	198	1377
-86	294	2044
-85	215	1495
-84	198	1377
-83	268	1863
-82	152	1057
-81	226	1571
-80	273	1898
-79	183	1272
-78	194	1349
-77	281	1954
-76	162	1126
-75	170	1182
-74	274	1905
-73	179	1245
-72	196	1363
-71	263	1829
-70	203	1412
-69	185	1286
-68	260	1808
-67	205	1425
-66	192	1335
-65	286	1989
-64	170	1182
-63	217	1509
-62	262	1822
-61	221	1537
-60	198	1377
-59	249	1731
-58	188	1307
-57	177	1231
-56	236	1641
-55	163	1133
-54	217	1509
-53	255	1773
-52	163	1133
-51	261	1815
-50	332	2308
-49	207	1439
-48	203	1412
-47	290	2016
-46	220	1530
-45	170	1182
-44	230	1599
-43	145	1008
-42	170	1182
-41	200	1391
-40	124	862
-39	200	1391
-38	225	1564
-37	134	932
-36	137	953
-35	193	1342
-34	124	862
-33	145	1008
-32	200	1391
-31	131	911
-30	134	932
-29	178	1238
-28	118	820
-27	137	953
-26	204	1418
-25	103	716
-24	135	939
-23	187	1300
-22	115	800
-21	138	960
-20	171	1189
-19	154	1071
-18	592	4116
-17	818	5688
-16	229	1592
-15	86	598
-14	106	737
-13	99	688
-12	79	549
-11	91	633
-10	96	668
-9	86	598
-8	76	528
-7	75	521
-6	57	396
-5	82	570
-4	86	598
-3	67	466
-2	76	528
-1	79	549
0	60	417
1	75	521
2	93	647
3	136	946
4	57	396
5	63	438
6	62	431
7	70	487
8	62	431
9	69	480
10	49	341
11	52	362
12	92	640
13	57	396
14	55	382
15	75	521
16	70	487
17	59	410
18	62	431
19	68	473
20	69	480
21	76	528
22	54	375
23	74	515
24	59	410
25	81	563
26	66	459
27	66	459
28	64	445
29	59	410
30	53	369
31	64	445
32	69	480
33	51	355
34	78	542
35	68	473
36	47	327
37	44	306
38	57	396
39	58	403
40	54	375
41	42	292
42	62	431
43	62	431
44	48	334
45	60	417
46	60	417
47	47	327
48	49	341
49	37	257
50	53	369
51	52	362
52	51	355
53	56	389
54	43	299
55	46	320
56	67	466
57	47	327
58	54	375
59	47	327
60	52	362
61	51	355
62	44	306
63	51	355
64	47	327
65	64	445
66	42	292
67	51	355
68	46	320
69	40	278
70	31	216
71	41	285
72	52	362
73	42	292
74	46	320
75	41	285
76	44	306
77	43	299
78	38	264
79	45	313
80	41	285
81	41	285
82	41	285
83	33	229
84	39	271
85	26	181
86	60	417
87	37	257
88	35	243
89	23	160
90	46	320
91	33	229
92	43	299
93	29	202
94	45	313
95	21	146
96	39	271
97	28	195
98	40	278
99	26	181
100	26	181
101	38	264
102	40	278
