Position	average_replicates
-60	2475
-59	4869
-58	2300
-57	2354
-56	4741
-55	2211
-54	2443
-53	4569
-52	2317
-51	2520
-50	4532
-49	2200
-48	2300
-47	4431
-46	2207
-45	2237
-44	4358
-43	1905
-42	2186
-41	4101
-40	1844
-39	2052
-38	3849
-37	1781
-36	1981
-35	3624
-34	1838
-33	1879
-32	3640
-31	1710
-30	1783
-29	3385
-28	1651
-27	1755
-26	3342
-25	1588
-24	1628
-23	2894
-22	1520
-21	1579
-20	2642
-19	1490
-18	2449
-17	3188
-16	1597
-15	1043
-14	1026
-13	1087
-12	929
-11	1093
-10	1099
-9	1013
-8	1099
-7	1127
-6	995
-5	1077
-4	1087
-3	957
-2	1130
-1	1127
0	897
1	1025
2	1188
3	1708
4	991
5	1141
6	892
7	907
8	847
9	885
10	859
