	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	201531	191945	181896	0.10857697333037063	0.0	35.02620913078843	-9	1.0729565178558138	575372	139448	0.050261402689897657	0.06183136150625357
ARG	157176	151001	137662	0.12299474310752535	0.0	35.253981818548844	-15	1.0499885478699038	445839	105121	0.037888882681463565	0.06355664273940102
ASN	180098	173202	158436	0.11917283581469867	0.0	35.193537292666534	-15	1.0231429555020044	511736	185745	0.06694828353676668	0.04128584846164382
ASP	219101	211373	202789	0.0814008788115969	0.0	34.59873701763722	-9	1.0581010584159816	633263	164832	0.059410586944102534	0.05757248321350973
CYS	24637	24315	22524	0.07311631751506059	0.0	34.468912642005705	-18	1.0834923083167594	71476	28807	0.010382940072915221	0.03718215727676985
GLN	156379	152994	142038	0.08417534566894942	0.0	34.64226613884021	-6	1.021326392929997	451411	125573	0.045260420515020064	0.05387015732845561
GLU	294346	282090	274641	0.08053260449664654	0.0	34.58511979527117	-9	1.0148260890244813	851077	181300	0.06534616708506716	0.07034665087161696
GLY	176169	172525	156699	0.09789056912479308	0.0	34.85782351556116	-18	1.0478006913815712	505393	139756	0.050372415483401246	0.05419149551314675
HIS	58944	57303	52973	0.09629802858100571	0.0	34.83276208485995	-21	1.0275855048859934	169220	57884	0.020863196555719953	0.043809221111501054
ILE	182632	175462	164816	0.10222569061341534	0.0	34.926086707081524	-6	1.018310044241973	522910	196139	0.07069460488636507	0.0399517094421875
LEU	251149	239446	226494	0.10839934244840552	0.0	35.02340713635267	-27	1.0154649232129134	717089	255095	0.09194418363246115	0.042125346900851485
LYS	297255	286123	269208	0.0983531440219952	0.0	34.86510451731555	-12	1.034081848917596	852586	204300	0.07363608348306244	0.06253774342524993
PHE	104671	102092	95511	0.08325693655075092	0.0	34.627854198508636	-15	1.0466795960676787	302274	120228	0.04333391603035551	0.03767623928281167
PRO	142371	133625	123783	0.14559841723794903	0.0	35.612425865290575	-12	1.10240849611227	399779	124303	0.04480267295739163	0.04819597196170009
SER	244322	234910	218635	0.10753807736017305	0.0	35.00982278858292	-9	1.0313889048059528	697867	248234	0.08947126552782439	0.0421292543804476
THR	173988	163803	155851	0.122476659270455	0.0	35.245785407238444	-6	1.0613490585557626	493642	169877	0.061228962084445414	0.043546163253441635
TRP	25685	24755	22794	0.1115110735077903	0.0	35.07250730534997	-18	1.0606579715787425	73234	26214	0.009448342106828187	0.041865071439073816
TYR	89925	87942	80368	0.09567326372154657	0.0	34.82293260015103	-27	1.033461217681401	258235	97173	0.03502417591923459	0.039823724004608214
VAL	181964	174561	166404	0.09402939950112225	0.0	34.79707570243761	-9	1.0308522564902949	522929	149434	0.053860668131218564	0.05244036205634121
TERM	3441	3237	2803	0.18827934252453984	0.0	36.29363991140175	-18	2.249346120313862	9481	5589	0.0020144496847128534	0.025420987259543077
MET	47680	44541	41762	0.14397352564385138	0.0	35.586604270691055	-15	1.0292994966442952	133983	49403	0.017806379991746127	0.04064140857144519
