	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	1057349	861544	612663	0.5205125328698719	0.0	41.7667632080823	-9	1.1484873963090712	2531556	145458	0.05036491346159839	0.057238673137905594
ARG	864213	747351	458892	0.5189382678303232	0.0	41.740225341663866	-18	1.3701309746555537	2070456	108560	0.03758896042425388	0.06272429688964817
ASN	913251	753774	471617	0.5758411729795858	0.0	42.70237842518757	-15	1.0585052740155774	2138642	193091	0.06685786622401996	0.036426352891212765
ASP	1109363	924151	584215	0.5567449776858453	0.0	42.37883295024046	-9	1.294764653228925	2617729	170666	0.05909319749231497	0.05044490463155456
CYS	150919	134853	86112	0.44995657548531925	0.0	40.58227834486022	-24	1.0662673354580934	371884	30522	0.010568259488477129	0.04007136498460852
GLN	660218	560466	377473	0.4934483739626085	0.0	41.31121035042239	-21	1.109797067029375	1598157	130124	0.04505550742672819	0.04039258682797955
GLU	1372852	1127002	755341	0.5446465649582023	0.0	42.17418618546662	-9	1.1009897643737272	3255195	187042	0.06476339660716005	0.057237084376149897
GLY	1062618	925721	603398	0.47492237103640406	0.0	41.00022494566385	-9	1.1099642580871019	2591737	146229	0.05063187264073527	0.05829040188815578
HIS	307782	268558	169931	0.48936820960559896	0.0	41.242658498052315	-15	1.2125270483654016	746271	60345	0.020894489837892414	0.04067194152947739
ILE	1025475	863739	560304	0.5262996106876981	0.0	41.86435862075722	-15	1.039742558326629	2449518	204597	0.07084182512823389	0.03937503969557771
LEU	1515136	1243996	792560	0.5733158118904679	0.0	42.65955493888547	-18	1.3658754065641632	3551692	277269	0.09600454557730702	0.04212826870365587
LYS	1510010	1257374	776265	0.5704945008649585	0.0	42.61172593561044	-12	1.2010092648393056	3543649	211296	0.07316135760688235	0.0551567989209595
PHE	607401	521889	342302	0.49129907744706414	0.0	41.275095270971846	-15	1.0809613418483013	1471592	126018	0.043633802641337746	0.03840559221213948
PRO	736663	590348	393529	0.5825268155175873	0.0	42.81580201564625	-12	1.4188998225783025	1720540	129457	0.04482455830547748	0.04370980470109199
SER	1186960	975876	642945	0.5523278481827869	0.0	42.30408574297139	-18	1.05229241086473	2805781	247118	0.08556474504532766	0.0373412644870284
THR	864689	690034	484987	0.5575667006237517	0.0	42.39274210549539	-6	1.0901618963581126	2039710	177430	0.061435236257142284	0.0378077648705303
TRP	181010	150919	94014	0.5636822396729296	0.0	42.49629645281176	-6	1.1481575603557814	425943	27664	0.009578675397720702	0.050637952877524886
TYR	509177	441849	278259	0.4999539582480861	0.0	41.420581882964484	-12	1.0448213489611669	1229285	101869	0.035272197950058204	0.039687173540259385
VAL	1024176	854971	596272	0.49717454890287965	0.0	41.3738441855702	-9	1.0966777194544688	2475419	156037	0.0540278980998462	0.052174795916664005
TERM	62434	54104	26087	0.638891569694757	0.0	43.7749342681858	-18	4.120735496684499	142625	5904	0.0020442632861532323	0.07944909223742294
MET	266092	216816	151896	0.5294307659348525	0.0	41.917190187837505	-6	1.1118598078859943	634804	51386	0.017792431101332995	0.0406288446804533
