Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	Ergosterol biosynthetic process (GO:0006696)	17	1.9165727170236753	1.559285943660531E-8	ERG11, ERG12, ERG20, ERG10, ERG13, ERG24, ERG25, NCP1, ERG251, CYB5, ERG1, ERG2, ERG3, ERG4, ERG5, ERG6, ERG9	641	24	4204	4.64560582423297	1.4485661621987944E-5	1.4470173557169728E-5	1.4407802119423307E-5
GOTERM_BP_DIRECT	Glutamine metabolic process (GO:0006541)	10	1.1273957158962795	4.058795807198048E-5	CAALFM_C105930CA, CPA1, URA7, HIS7, TRP3, TRP2, ADE6, ASN1, SNO1, GUA1	641	14	4204	4.684644528638288	0.03700492197154093	0.018832812545398942	0.01875163662925498
GOTERM_BP_DIRECT	Cellular amino acid biosynthetic process (GO:0008652)	8	0.9019165727170236	1.4478388893812808E-4	ILV3, BAT21, BAT22, HAL22, ARO4, ARO2, ARO3, ARO1	641	10	4204	5.246801872074883	0.1258593336412861	0.044786482978194285	0.04459343779294345
GOTERM_BP_DIRECT	Sterol biosynthetic process (GO:0016126)	10	1.1273957158962795	5.542105443607166E-4	ERG251, CYB5, ERG1, ERG11, ERG3, ERG4, ERG5, ERG6, ERG24, ERG25	641	18	4204	3.6436124111631134	0.40250198616572086	0.12857684629168625	0.12802263574732553
GOTERM_BP_DIRECT	Aromatic amino acid family biosynthetic process (GO:0009073)	6	0.6764374295377678	0.0012950414697656756	ARO8, ARO7, ARO4, ARO2, ARO3, ARO1	641	7	4204	5.6215734343659465	0.6999701252105142	0.24035969678850938	0.23932366361269686
GOTERM_BP_DIRECT	Valine biosynthetic process (GO:0009099)	5	0.5636978579481398	0.0023415228882699914	ILV5, ILV6, BAT22, ILV1, ILV2	641	5	4204	6.558502340093604	0.8867123900997772	0.2968490540610056	0.2955695322762599
GOTERM_BP_DIRECT	Leucine biosynthetic process (GO:0009098)	5	0.5636978579481398	0.0023415228882699914	LEU2, LEU42, BAT22, LEU1, LEU4	641	5	4204	6.558502340093604	0.8867123900997772	0.2968490540610056	0.2955695322762599
GOTERM_BP_DIRECT	Histidine biosynthetic process (GO:0000105)	6	0.6764374295377678	0.0030216987358900878	HIS3, CAALFM_C703650WA, HIS5, HIS4, HIS7, HIS1	641	8	4204	4.918876755070203	0.9398797094857667	0.2968490540610056	0.2955695322762599
GOTERM_BP_DIRECT	Arginine biosynthetic process (GO:0006526)	6	0.6764374295377678	0.0030216987358900878	ARG4, CPA2, CPA1, ARG2, ARG1, ARG11	641	8	4204	4.918876755070203	0.9398797094857667	0.2968490540610056	0.2955695322762599
GOTERM_BP_DIRECT	Drug transmembrane export (GO:1990961)	12	1.3528748590755355	0.0031988044618642846	CDR11, MDR1, FLU1, QDR2, TPO4, QDR1, CNT, CAALFM_C100830WA, MLT1, CAALFM_C703590CA, CDR1, CAALFM_C303440CA	641	30	4204	2.6234009360374415	0.9490266550949893	0.2968490540610056	0.2955695322762599
GOTERM_BP_DIRECT	Lysine biosynthetic process via aminoadipic acid (GO:0019878)	6	0.6764374295377678	0.0059524072795731665	LYS9, ARO8, LYS1, LYS4, LYS22, LYS2	641	9	4204	4.372334893395736	0.9960981705062513	0.4410367663714569	0.43913574582675236
GOTERM_BP_DIRECT	Polyphosphate metabolic process (GO:0006797)	5	0.5636978579481398	0.006178316770289806	CAALFM_C300170CA, PHO91, VTC4, PHO84, PHO87	641	6	4204	5.46541861674467	0.9968408755344157	0.4410367663714569	0.43913574582675236
GOTERM_BP_DIRECT	Post-Golgi vesicle-mediated transport (GO:0006892)	5	0.5636978579481398	0.006178316770289806	PEP1, CDC28, CAALFM_C307230WA, FEN12, CAALFM_CR07470WA	641	6	4204	5.46541861674467	0.9968408755344157	0.4410367663714569	0.43913574582675236
GOTERM_BP_DIRECT	Purine nucleobase biosynthetic process (GO:0009113)	4	0.4509582863585118	0.012458130430200443	BAS1, SER1, MIS11, ADE4	641	4	4204	6.558502340093604	0.9999912486301005	0.7359823292474761	0.7328099916214094
GOTERM_BP_DIRECT	Branched-chain amino acid biosynthetic process (GO:0009082)	4	0.4509582863585118	0.012458130430200443	ILV6, ILV3, BAT21, BAT22	641	4	4204	6.558502340093604	0.9999912486301005	0.7359823292474761	0.7328099916214094
GOTERM_BP_DIRECT	Isoleucine biosynthetic process (GO:0009097)	5	0.5636978579481398	0.012689350504266828	ILV5, HOM6, ILV6, ILV1, ILV2	641	7	4204	4.684644528638288	0.9999929595539834	0.7359823292474761	0.7328099916214094
GOTERM_BP_DIRECT	Late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	6	0.6764374295377678	0.01676073161881224	CAALFM_C405160CA, IST1, CAALFM_C602180WA, SEC27, CAALFM_C703970CA, FEN12	641	11	4204	3.5773649127783296	0.9999998485006696	0.8503913579334342	0.8467258779423418
GOTERM_BP_DIRECT	Gluconeogenesis (GO:0006094)	6	0.6764374295377678	0.01676073161881224	PGK1, PGI1, ENO1, PCK1, FBA1, PYC2	641	11	4204	3.5773649127783296	0.9999998485006696	0.8503913579334342	0.8467258779423418
GOTERM_BP_DIRECT	Induction by symbiont of host defense response (GO:0044416)	8	0.9019165727170236	0.017411029957688846	SAP2, ALS1, PGK1, CDC19, ENO1, FBA1, IMH3, MET6	641	19	4204	2.7614746695130963	0.9999999180628447	0.8503913579334342	0.8467258779423418
GOTERM_BP_DIRECT	Glycerophospholipid catabolic process (GO:0046475)	5	0.5636978579481398	0.022357002272627727	PLB4.5, PLB3, GDE1, CAALFM_C602420WA, PLB1	641	8	4204	4.099063962558502	0.9999999992457885	0.9430590049544786	0.9389940954503645
GOTERM_BP_DIRECT	Cellular amino acid metabolic process (GO:0006520)	5	0.5636978579481398	0.022357002272627727	CPA2, SNZ1, AAT22, GLY1, CAALFM_CR08000CA	641	8	4204	4.099063962558502	0.9999999992457885	0.9430590049544786	0.9389940954503645
GOTERM_BP_DIRECT	de novo' IMP biosynthetic process (GO:0006189)	5	0.5636978579481398	0.022357002272627727	ADE1, ADE13, ADE8, ADE6, ADE4	641	8	4204	4.099063962558502	0.9999999992457885	0.9430590049544786	0.9389940954503645
GOTERM_BP_DIRECT	Biosynthetic process (GO:0009058)	6	0.6764374295377678	0.025203545320745466	MET2, AAT1, AAT22, ALT1, CAALFM_CR08000CA, CAALFM_C603320WA	641	12	4204	3.279251170046802	0.9999999999497599	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Lysine biosynthetic process (GO:0009085)	4	0.4509582863585118	0.027633041743109696	LYS4, LYS22, LYS12, LYS2	641	5	4204	5.246801872074883	0.9999999999950541	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Threonine biosynthetic process (GO:0009088)	4	0.4509582863585118	0.027633041743109696	THR4, HOM6, CAALFM_C502280CA, THR1	641	5	4204	5.246801872074883	0.9999999999950541	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Transsulfuration (GO:0019346)	4	0.4509582863585118	0.049087766715948916	STR2, CYS3, MET15, CAALFM_CR09010CA	641	6	4204	4.3723348933957356	1.0	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Methionine biosynthetic process (GO:0009086)	5	0.5636978579481398	0.05218169001828084	HOM6, MET2, MET3, MET15, MET6	641	10	4204	3.279251170046802	1.0	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Glycine decarboxylation via glycine cleavage system (GO:0019464)	3	0.3382187147688839	0.062406898074810306	GCV1, GCV3, GCV2	641	3	4204	6.558502340093604	1.0	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Chorismate biosynthetic process (GO:0009423)	3	0.3382187147688839	0.062406898074810306	ARO4, ARO2, ARO1	641	3	4204	6.558502340093604	1.0	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Copper ion transport (GO:0006825)	3	0.3382187147688839	0.062406898074810306	ATX1, CTR1, CRP1	641	3	4204	6.558502340093604	1.0	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Pyridoxine biosynthetic process (GO:0008615)	3	0.3382187147688839	0.062406898074810306	SNZ1, RKI1, PDX3	641	3	4204	6.558502340093604	1.0	1.0	0.9967637540453075
GOTERM_BP_DIRECT	Arginine biosynthetic process via ornithine (GO:0042450)	3	0.3382187147688839	0.062406898074810306	ARG4, ARG3, ARG8	641	3	4204	6.558502340093604	1.0	1.0	0.9967637540453075
