	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	157676	155965	136537	0.10851659373831454	0.0	35.02525667624806	-9	1.0714883685532357	450178	137671	0.05014977067219584	0.05972656610881142
ARG	126134	127191	108715	0.11526313899786508	1.0	35.13175339741465	-5	1.0567964714484515	362040	104092	0.03791786163251672	0.06352796578599419
ASN	147455	146554	125541	0.11616429710935633	0.0	35.145989750923604	-15	1.0329049540537791	419550	184020	0.06703344058732397	0.0416432335867865
ASP	178564	179990	159142	0.09214894276423484	1.0	34.76750834466559	-8	1.0329073837435414	517696	163382	0.059515583034660174	0.05787571205800109
CYS	20167	20645	17495	0.1326828037593027	1.0	35.407412489066495	-5	1.0741583918624364	58307	28374	0.01033587024902038	0.03753408890137267
GLN	119252	121283	106576	0.10315297058173759	1.0	34.940696203808	-5	1.053585415928036	347111	124511	0.04535594348966577	0.05091976627613807
GLU	241514	244136	218107	0.08724033291143686	1.0	34.69038318624184	-8	1.0104245174820592	703757	179837	0.06550968837573405	0.07147751156062179
GLY	144622	148683	124988	0.14136569513336847	1.0	35.545180053216285	-14	1.0629930792356894	418293	138172	0.05033227123590766	0.05529505557405054
HIS	46742	47787	40660	0.1289519071165874	1.0	35.34829017153763	-5	1.0317031828740033	135189	57313	0.020877554507017164	0.04308379588301447
ILE	151607	151925	132626	0.09628522789869863	1.0	34.832560677552635	-11	1.0207010037847621	436158	193851	0.07061460434351341	0.04109618833026759
LEU	206688	205583	180265	0.09942200273478431	0.0	34.88193122443193	-24	1.018143288434742	592536	252500	0.09197882702042877	0.042862658578905255
LYS	245413	243680	211670	0.1082357892509022	0.0	35.02082729824491	-12	1.0576456829915286	700763	202339	0.07370655002172886	0.06325826989496294
PHE	84900	85789	74761	0.10385262786606722	1.0	34.95172132817274	-5	1.0392241429553906	245450	118971	0.043337873383950225	0.03768319089313252
PRO	110177	107389	93307	0.13481122238240437	0.0	35.44116085990099	-12	1.1204153316935477	310873	123127	0.044851790235819144	0.04611640581407645
SER	195780	194857	169175	0.10516811808096735	0.0	34.9724550384772	-9	1.028991725406068	559812	245633	0.08947736719805537	0.04162758700183346
THR	140653	137136	120826	0.12498176431682034	0.0	35.28542578678675	-6	1.0507347870290715	398615	167610	0.061055727512451745	0.04343896381932469
TRP	21441	21861	18451	0.13225994124728346	1.0	35.400709277282076	-8	1.0629888843145328	61753	25910	0.009438302606333899	0.043532779163104336
TYR	74087	75391	64024	0.12663598417064204	1.0	35.31161300596716	-5	1.026408987810216	213502	96037	0.03498364598241948	0.040605896984255825
VAL	147755	146958	131331	0.08662306772079552	0.0	34.68069025734431	-9	1.042563703427972	426044	147535	0.05374295542359984	0.05274546658286949
TERM	2708	2672	2093	0.18475152477769266	0.0	36.237120299745754	-18	2.46602658788774	7473	5452	0.001986014118476743	0.025035996434969975
MET	38844	37836	32763	0.13804402280309816	0.0	35.492448123680816	-15	1.0597775718257645	109443	48860	0.01779835836918079	0.04091290076750678
