	proline_rep01	proline_rep03	control_ctx1	control_ctx3
ALA	49557	118889	8567	17118
ARG	57942	131565	8104	15484
ASN	41090	100808	6919	13572
ASP	43231	104427	7617	14863
CYS	6811	17575	1267	2610
GLN	23986	57744	4249	8056
GLU	51395	125168	8812	16961
GLY	47674	118069	8254	16814
HIS	12872	30410	2257	4465
ILE	45675	111262	7150	14621
LEU	95905	229943	14299	28196
LYS	78579	180416	12210	23381
PHE	19282	50051	3578	7358
PRO	38210	86883	6057	11859
SER	58355	138781	9505	18129
THR	34686	83986	6060	11940
TRP	8957	22788	1569	3199
TYR	21469	53340	3942	7813
VAL	38766	98096	7140	14819
TERM	8182	28586	1512	3914
MET	8580	21956	1595	3081
