	F0	F1	F2	FPI	F	F_perc	peak_pos	peak_scale	usage	genome_usage_abs	genome_usage_fraction	usage_normalized
ALA	1072404	937859	774288	0.32504193291643135	0.0	38.512636328083055	-9	1.0668703212595254	2784551	144388	0.05019598572563389	0.05612242620070267
ARG	883183	785518	603869	0.3463358039730782	0.0	38.86274130169808	-18	1.1907396315372918	2272570	108327	0.03765950456894439	0.0610510187090989
ASN	1040361	897296	703695	0.3781190253753934	0.0	39.3874424915725	-21	1.0394766816518497	2641352	192608	0.06695950091865593	0.03990840045853419
ASP	1228295	1078274	853126	0.3470101121998498	0.0	38.87384700105548	-9	1.1589113364460493	3159695	170148	0.059151360080097755	0.05404190829124623
CYS	164599	151267	115463	0.30357547220948583	0.0	38.16089342474074	-18	1.1134150268227632	431329	30301	0.010534037201654103	0.04142514706052909
GLN	804565	704862	587001	0.31682780200859667	0.0	38.377898024640004	-21	1.0605271171378323	2096428	129692	0.045086972468133854	0.04704127948215686
GLU	1589214	1375289	1127545	0.3447508001337449	0.0	38.8366412124198	-9	1.0563070801037493	4092048	186622	0.06487848885010698	0.06381021997005547
GLY	1096339	1011286	769027	0.3005630580785019	0.0	38.111631160112516	-15	1.079879489829332	2876652	145391	0.05054467518516523	0.05757874104968089
HIS	347558	312278	246339	0.315394274072868	0.0	38.354401743592575	-15	1.0774115399444122	906175	60156	0.02091302405540095	0.04383747059529471
ILE	1082374	955007	767076	0.33004441084885655	0.0	38.59477966679468	-24	1.0322393183871748	2804457	203766	0.07083854078849708	0.04005248136724028
LEU	1603931	1377619	1104044	0.37030486288668024	0.0	39.25820823116541	-18	1.1523806198645703	4085594	276286	0.0960498664168247	0.04303370019998844
LYS	1562217	1359430	1071608	0.36202242060947454	0.0	39.12139344970457	-12	1.0993799196910545	3993255	210817	0.07328979640081558	0.055123118234639445
PHE	639744	573521	459889	0.30815386729044186	0.0	38.23581092953787	-15	1.0559395633253301	1673154	125443	0.043609822404775275	0.038815201590708684
PRO	825564	704748	572546	0.3703613319885198	0.0	39.25914160632815	-12	1.2167427358751108	2102858	129028	0.044856135178872825	0.04742838572466533
SER	1353754	1181189	951809	0.3440829876982524	0.0	38.825646332173896	-9	1.047759785012639	3486752	245846	0.08546750634889456	0.041273402607355875
THR	967416	826425	691459	0.35014676261794503	0.0	38.925522069770246	-21	1.0289544518593863	2485300	176555	0.06137873133355467	0.040964830326594336
TRP	181281	158800	122149	0.3679194593954331	0.0	39.2187871838695	-18	1.2154004004832277	462230	27495	0.009558541066614287	0.04892341525218356
TYR	558369	501632	391192	0.32284303824303934	0.0	38.476549983358524	-27	1.0317531954675134	1451193	101410	0.03525483359030205	0.041644413866977724
VAL	1040793	920426	760144	0.30873252834967463	0.0	38.24528370526093	-9	1.04553066748143	2721363	155202	0.053955435192604866	0.05102717485466786
TERM	36428	37472	17307	0.47995089500817023	1.0	41.08456587761904	-17	4.8523430828351835	91207	5855	0.0020354703744326842	0.0453329136868335
MET	282015	243789	204739	0.3305738494301327	0.0	38.603477139607115	-6	1.0690282431785543	730543	51149	0.01778177185001834	0.04156435047084583
